,username,profile_link,rating,review_title,review_body
30,Kahvila,https://amazon.com/gp/profile/amzn1.account.AERP65RBZF2TTKTTTKXIPO6OQIYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Very nice countertop blender,"Just received this and have been trying it out. It’s a good countertop blender, well made with good quality materials and several very useful features, and really nice looking (I love the brushed steel red finish on the body). It comes with two bottles that you fill with things to be blended, cover with the blades top, and screw onto the base machine to turn on. I’ve made fruit/yogurt/spinach smoothies easily. A couple of berries were left intact, but I only turned it on to the first level of power (there are three). It is important to include some liquid to get a smooth blend. The BPA-free (says this on the bottom) plastic bottles have lids for portability. I will use it a lot."
31,Heather Bradley,https://amazon.com/gp/profile/amzn1.account.AEIEX2LJHJ3KYUES7F2TC3OH75EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,So far so good! Recommend.,"Compact footprint. Attractive out on counter if you like. Blends well... I even include carrots in my daily smoothies. The travel/blending containers work well with no leakage so far even when it gets tossed all around in my bag to work. Only problem so far is I left out the spare ""O"" ring that comes with it and my cat ran off with it somewhere!"
32,Shannon,https://amazon.com/gp/profile/amzn1.account.AGKERIXHZUSKFAT7RPZRN3EXPESA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Good little machine for a college student or single person,"For a 300 watt blender, this is a great little machine.  It arrived yesterday and we had to try it out immediately.  It definitely worked well.  I don’t know how it would do with ice but it was great for a smoothies and my daughter is excited to have a personal blender she can take to college.  Easy to clean up and really like the size.  I also like that this is BPA free and came with a separate bottle you can use to put the smoothie in to go.  Good value."
33,John J 'Irish',https://amazon.com/gp/profile/amzn1.account.AFF4B6FSR22VU7FVC2MTMXIWFJHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Makes a great smoothie,This small compact an powerful single size blender is great.  My wife who is not a big fruit eater now makes a few smooths a day.  It is easy to load and very easy to clean.  Rather than having to get your large blender down from q shelf you can use this handheld product
34,AW,https://amazon.com/gp/profile/amzn1.account.AFNWT27KO3WLOZX23OBUSTPKX3IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Love my Smoothie Blender. Great for single serving smoothies, dressings, etc.","Loving my smoothie blender! It works great for single portion smoothies - excellent for portion control! Also excellent for making salsas, dressings, cold foam, etc. I have a large glass blender which is just too much to bring out sometimes so this is the perfect solution when I need something quick and easy!"
35,Patel,https://amazon.com/gp/profile/amzn1.account.AFHOQW5UJET5LJARNBFED6NPFNEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Perfect Blender,This is a fantastic blender. The blender was packaged very well and I love that it comes with a large and small bottle and an extra gasket. It's a great blender and doesn't take up a whole lot of counter space. It's very powerful and blends up all the veggies very quickly and super easy to clean. It blends all the fruits and veggies up very smoothly in just minutes. It doesn't take a lot of time compared to what I have been using traditionally. I absolutely love this blender and would definitely recommend it.
36,Tadd Marshall,https://amazon.com/gp/profile/amzn1.account.AGGH2OE34K6AD6OXFUTRWSJAWYOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great little blender!,"Great little blender. Before making anything to drink, I just blended some ice and water. It did an amazing job blending the ice, basically making it shaved ice.  After testing it out, I used it to make frozen blueberry smoothies. They turned out great!  Smooth and plenty thick. My kids loved them. There was a slight smell coming from the unit when I used it, but it has not given me any problems. It’s very easy to clean out."
37,Lin,https://amazon.com/gp/profile/amzn1.account.AEDPRLKFAOTLRFFZD6ICBVTUSAVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Love it,Every day I try to make a healthy fruit smoothie. I already had a Ninja Auto IQ blender; it's very powerful but very loud. I wanted something a bit smaller and more quiet. After looking around I found this product and so far I'm very satisfied. I've been using it every day and it's worked great so far.It's so much more quiet and I plan to take it with me when travelling gets better so I can keep making healthy drinks. Highly recommended.
38,Halima,https://amazon.com/gp/profile/amzn1.account.AFKEH65N4EE4TGPE6DGUGCLULYIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,This is the smoothie blender you’re looking for!,"I don’t usually write reviews but I felt like I needed to write this one. First omg this blender is beautiful. This is the third smoothie blender (final) I’m buying off Amazon and let me tell you this one is perfect. Noise level- almost zero compared to the ones I have bought in the past. It was so low I thought it wasn’t working Lol but obviously, it was. As you can see from my pictures my smoothies came out perfectly whipped, I couldn’t believe I had ice in it. Perfect it is. Save yourself the trouble of going through Amazon (trust I have looked and tried), this is the smoothie blender you’re looking for."
39,Emily Santini,https://amazon.com/gp/profile/amzn1.account.AFNQDYPYEINKNVR4O7BYJIIVI4TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Smells bleh works well,Looks sleek and cup size is good but shape of the cup traps frozen fruit at the top. You have to bang the cup and take it off the motor to shake it. My blade attachment actually got stuck in the motor so I returned it. Before I had a malfunction with my machine I wrote a 4 star review because I was told if I wrote a review at all I would get a $15 gift card so I was honest. I was just emailed and told that if I changed my review to 5 stars I would get an additional $5 as a 4 star “looks bad for business”. Don’t be fooled by all the 5 star reviews it’s just a cheap blender.
